date,transition,transition_deputy,parliament_report,parliament_committee,parliament_committee_deputy,total
2024-02-08,69,47,371,272,242,1001
2024-02-07,69,47,371,272,242,1001
2024-02-06,69,47,371,272,242,1001
2024-02-05,69,47,371,272,242,1001
2024-02-04,69,47,371,272,242,1001
2024-02-03,69,47,371,272,242,1001
2024-02-02,69,47,371,272,241,1000
2024-02-01,69,47,371,272,241,1000
2024-01-31,69,47,371,272,241,1000
2024-01-30,69,47,370,271,241,998
2024-01-28,69,47,370,271,241,998
2024-01-27,69,47,370,271,241,998
2024-01-26,69,47,370,271,240,997
2024-01-25,69,47,370,271,240,997
2024-01-24,69,47,370,271,240,997
2024-01-23,69,47,370,271,240,997
2024-01-22,69,47,370,271,240,997
2024-01-21,69,47,370,271,240,997
2024-01-20,69,47,370,271,235,992
2024-01-19,69,47,370,270,235,991
2024-01-18,69,47,370,268,235,989
2024-01-17,69,47,369,267,235,987
2024-01-16,69,47,369,267,233,985
2024-01-15,69,47,369,267,233,985
2024-01-14,69,47,369,267,233,985
2024-01-13,69,47,369,267,233,985
2024-01-12,69,47,369,267,233,985
2024-01-11,69,47,369,267,233,985
2024-01-10,69,47,369,267,233,985
2024-01-09,69,46,369,267,233,984
2024-01-08,69,46,369,267,233,984
2024-01-07,69,46,369,267,233,984
2024-01-06,69,46,369,267,233,984
2024-01-05,69,46,369,267,233,984
2024-01-04,69,46,370,267,233,985
2024-01-03,69,46,370,267,233,985
2024-01-02,69,46,370,267,233,985
2024-01-01,69,46,370,267,233,985
2023-12-31,69,46,370,267,233,985
2023-12-30,69,46,370,267,233,985
2023-12-29,69,46,370,267,233,985
2023-12-28,69,46,369,267,233,984
2023-12-27,69,46,369,267,233,984
2023-12-26,69,46,369,267,233,984
2023-12-25,69,46,369,267,233,984
2023-12-24,69,46,369,267,233,984
2023-12-23,69,46,369,267,231,982
2023-12-22,69,46,369,267,231,982
2023-12-21,69,46,369,267,230,981
2023-12-20,69,46,369,267,230,981
2023-12-19,69,46,369,267,230,981
2023-12-18,69,46,369,267,230,981
2023-12-17,69,46,369,267,230,981
2023-12-16,69,46,368,267,228,978
2023-12-15,69,46,368,267,228,978
2023-12-14,69,46,368,267,227,977
2023-12-13,69,46,355,267,227,964
2023-12-12,69,46,355,267,227,964
2023-12-11,69,46,355,267,227,964
2023-12-10,69,46,355,267,227,964
2023-12-09,69,46,355,267,227,964
2023-12-08,69,46,353,267,227,962
2023-12-07,69,46,353,267,227,962
2023-12-06,69,46,352,267,227,961
2023-12-05,69,46,352,267,227,961
2023-12-04,69,46,350,266,227,958
2023-12-03,69,46,350,266,227,958
2023-12-02,69,46,347,266,226,954
2023-12-01,69,46,348,266,226,955
2023-11-30,69,46,346,266,226,953
2023-11-29,69,46,346,265,226,952
2023-11-28,69,46,346,265,226,952
2023-11-27,69,46,346,265,226,952
2023-11-26,69,46,346,265,226,952
2023-11-24,66,46,345,265,226,948
2023-11-23,63,46,344,265,226,944
2023-11-22,63,45,343,265,226,942
2023-11-21,62,45,342,265,226,940
2023-11-20,62,45,342,265,226,940
2023-11-19,62,45,342,265,226,940
2023-11-18,62,45,337,265,226,935
2023-11-17,62,45,335,265,226,933
2023-11-16,62,45,331,265,226,929
2023-11-15,62,45,331,265,226,929
2023-11-14,62,45,331,265,226,929
2023-11-13,62,45,331,265,226,929
2023-11-12,62,45,331,265,226,929
2023-11-11,62,45,331,265,226,929
2023-11-10,61,45,329,265,226,926
2023-11-09,61,45,329,265,226,926
